State_Territory,Population,International_Students
New South Wales,8157.7,251.149
Victoria,6689.4,218.525
Queensland,5160,96.447
South Australia,1767.2,35.872
Western Australia,2656.2,37.415
Tasmania,539.6,13.043
Northern Territory,245.4,3.77
